"ImageFile","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
41,1,0,0.099,0,0.049
41,1,0.00198,0.099,0.00198,0.049
41,1,0.00396,0.099,0.00396,0.049
41,1,0.00594,0.099,0.00594,0.049
41,1,0.00792,0.099,0.00792,0.049
41,1,0.0099,0.099,0.0099,0.049
41,1,0.01188,0.099,0.01188,0.049
41,1,0.01386,0.099,0.01386,0.049
41,1,0.01584,0.099,0.01584,0.049
41,1,0.01782,0.099,0.01782,0.049
41,1,0.0198,0.099,0.0198,0.049
41,1,0.02178,0.099,0.02178,0.049
41,1,0.02376,0.099,0.02376,0.049
41,1,0.02574,0.099,0.02574,0.049
41,1,0.02772,0.099,0.02772,0.049
41,1,0.0297,0.099,0.0297,0.049
41,1,0.03168,0.099,0.03168,0.049
41,1,0.03366,0.099,0.03366,0.049
41,1,0.03564,0.099,0.03564,0.049
41,1,0.03762,0.099,0.03762,0.049
41,1,0.0396,0.099,0.0396,0.049
41,1,0.04158,0.099,0.04158,0.049
41,1,0.04356,0.099,0.04356,0.049
41,1,0.04554,0.099,0.04554,0.049
41,1,0.04752,0.099,0.04752,0.049
41,1,0.0495,0.099,0.0495,0.049
41,1,0.05148,0.099,0.05148,0.049
41,1,0.05346,0.099,0.05346,0.049
41,1,0.05544,0.099,0.05544,0.049
41,1,0.05742,0.099,0.05742,0.049
41,1,0.0594,0.099,0.0594,0.049
41,1,0.06138,0.099,0.06138,0.049
41,1,0.06336,0.099,0.06336,0.049
41,1,0.06534,0.099,0.06534,0.049
41,1,0.06732,0.099,0.06732,0.049
41,1,0.0693,0.099,0.0693,0.049
41,1,0.07128,0.099,0.07128,0.049
41,1,0.07326,0.099,0.07326,0.049
41,1,0.07524,0.099,0.07524,0.049
41,1,0.07722,0.099,0.07722,0.049
41,1,0.0792,0.099,0.0792,0.049
41,1,0.08118,0.099,0.08118,0.049
41,1,0.08316,0.099,0.08316,0.049
41,1,0.08514,0.099,0.08514,0.049
41,1,0.08712,0.099,0.08712,0.049
41,1,0.0891,0.099,0.0891,0.049
41,1,0.09108,0.099,0.09108,0.049
41,1,0.09306,0.099,0.09306,0.049
41,1,0.09504,0.099,0.09504,0.049
41,1,0.09702,0.099,0.09702,0.049
41,1,0.099,0.099,0.099,0.049
41,1,0.10098,0.099,0.10098,0.049
41,1,0.10296,0.099,0.10296,0.049
41,1,0.10494,0.099,0.10494,0.049
41,1,0.10692,0.099,0.10692,0.049
41,1,0.1089,0.099,0.1089,0.049
41,1,0.11088,0.099,0.11088,0.049
41,1,0.11286,0.099,0.11286,0.049
41,1,0.11484,0.099,0.11484,0.049
41,1,0.11682,0.099,0.11682,0.049
41,1,0.1188,0.099,0.1188,0.049
41,1,0.12078,0.099,0.12078,0.049
41,1,0.12276,0.099,0.12276,0.049
41,1,0.12474,0.099,0.12474,0.049
41,1,0.12672,0.099,0.12672,0.049
41,1,0.1287,0.099,0.1287,0.049
43,1,0.13068,0.099,0.13068,0.049
48,1,0.13266,0.099,0.13266,0.049
48,1,0.13464,0.099,0.13464,0.049
48,1,0.13662,0.099,0.13662,0.049
48,1,0.1386,0.099,0.1386,0.049
48,1,0.14058,0.099,0.14058,0.049
48,1,0.14256,0.099,0.14256,0.049
48,1,0.14454,0.099,0.14454,0.049
43,1,0.14652,0.099,0.14652,0.049
31,1,0.1485,0.099,0.1485,0.049
46,1,0.15048,0.099,0.15048,0.049
57,1,0.15246,0.099,0.15246,0.049
58,1,0.15444,0.099,0.15444,0.049
46,1,0.15642,0.099,0.15642,0.049
0,1,0.1584,0.099,0.1584,0.049
0,1,0.16038,0.099,0.16038,0.049
0,1,0.16236,0.099,0.16236,0.049
0,1,0.16434,0.099,0.16434,0.049
0,1,0.16632,0.099,0.16632,0.049
0,1,0.1683,0.099,0.1683,0.049
0,1,0.17028,0.099,0.17028,0.049
0,1,0.17226,0.099,0.17226,0.049
0,1,0.17424,0.099,0.17424,0.049
0,1,0.17622,0.099,0.17622,0.049
0,1,0.1782,0.099,0.1782,0.049
0,1,0.18018,0.099,0.18018,0.049
0,1,0.18216,0.099,0.18216,0.049
0,1,0.18414,0.099,0.18414,0.049
0,1,0.18612,0.099,0.18612,0.049
0,1,0.1881,0.099,0.1881,0.049
0,1,0.19008,0.099,0.19008,0.049
0,1,0.19206,0.099,0.19206,0.049
0,1,0.19404,0.099,0.19404,0.049
0,1,0.19602,0.099,0.19602,0.049
0,1,0.198,0.099,0.198,0.049
