"objects","ports","Emag","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16.697,0,0.28892,1,0,-0.10222,0.072009,0.16079
16.697,0,0.28892,1,6.8083e-05,-0.10229,0.072007,0.16079
16.697,0,0.28892,1,0.00013616,-0.10236,0.072004,0.16078
16.697,0,0.28892,1,0.00020424,-0.10243,0.072001,0.16078
39.482,0,0.36158,1,0.00027232,-0.1025,0.071999,0.16078
39.482,0,0.36158,1,0.00034041,-0.10256,0.071996,0.16078
39.482,0,0.36158,1,0.00040848,-0.10263,0.071994,0.16078
39.482,0,0.36158,1,0.00047657,-0.1027,0.071991,0.16078
39.482,0,0.36158,1,0.00054465,-0.10277,0.071989,0.16077
39.482,0,0.36158,1,0.00061272,-0.10284,0.071986,0.16077
39.482,0,0.36158,1,0.00068081,-0.1029,0.071984,0.16077
39.482,0,0.36158,1,0.00074889,-0.10297,0.071981,0.16077
39.482,0,0.36158,1,0.00081697,-0.10304,0.071979,0.16077
39.482,0,0.36158,1,0.00088505,-0.10311,0.071976,0.16077
39.482,0,0.36158,1,0.00095313,-0.10318,0.071973,0.16076
39.482,0,0.36158,1,0.0010212,-0.10324,0.071971,0.16076
39.482,0,0.36158,1,0.0010893,-0.10331,0.071968,0.16076
39.482,0,0.36158,1,0.0011574,-0.10338,0.071966,0.16076
39.482,0,0.36158,1,0.0012255,-0.10345,0.071963,0.16076
39.482,0,0.36158,1,0.0012935,-0.10352,0.071961,0.16076
39.482,0,0.36158,1,0.0013616,-0.10358,0.071958,0.16075
39.482,0,0.36158,1,0.0014297,-0.10365,0.071956,0.16075
39.482,0,0.36158,1,0.0014978,-0.10372,0.071953,0.16075
39.482,0,0.36158,1,0.0015659,-0.10379,0.071951,0.16075
39.482,0,0.36158,1,0.0016339,-0.10386,0.071948,0.16075
39.482,0,0.36158,1,0.001702,-0.10392,0.071946,0.16075
39.482,0,0.36158,1,0.0017701,-0.10399,0.071943,0.16075
16.697,0,0.38666,1,0.0018382,-0.10406,0.07194,0.16074
16.697,0,0.38666,1,0.0019063,-0.10413,0.071938,0.16074
16.697,0,0.38666,1,0.0019743,-0.1042,0.071935,0.16074
16.697,0,0.38666,1,0.0020424,-0.10426,0.071933,0.16074
16.697,0,0.38666,1,0.0021105,-0.10433,0.07193,0.16074
16.697,0,0.38666,1,0.0021786,-0.1044,0.071928,0.16074
16.697,0,0.38666,1,0.0022467,-0.10447,0.071925,0.16073
16.697,0,0.38666,1,0.0023147,-0.10454,0.071923,0.16073
16.697,0,0.38666,1,0.0023828,-0.1046,0.07192,0.16073
16.697,0,0.38666,1,0.0024509,-0.10467,0.071918,0.16073
16.697,0,0.38666,1,0.002519,-0.10474,0.071915,0.16073
16.697,0,0.38666,1,0.0025871,-0.10481,0.071912,0.16073
16.697,0,0.38666,1,0.0026552,-0.10488,0.07191,0.16072
16.697,0,0.38666,1,0.0027232,-0.10494,0.071907,0.16072
16.697,0,0.38666,1,0.0027913,-0.10501,0.071905,0.16072
16.697,0,0.38666,1,0.0028594,-0.10508,0.071902,0.16072
16.697,0,0.38666,1,0.0029275,-0.10515,0.0719,0.16072
16.697,0,0.38666,1,0.0029956,-0.10522,0.071897,0.16072
16.697,0,0.38666,1,0.0030636,-0.10529,0.071895,0.16071
16.697,0,0.38666,1,0.0031317,-0.10535,0.071892,0.16071
16.697,0,0.38666,1,0.0031998,-0.10542,0.07189,0.16071
16.697,0,0.38666,1,0.0032679,-0.10549,0.071887,0.16071
16.697,0,0.38666,1,0.003336,-0.10556,0.071885,0.16071
16.697,0,0.38666,1,0.003404,-0.10563,0.071882,0.16071
16.697,0,0.38666,1,0.0034721,-0.10569,0.071879,0.1607
16.697,0,0.38666,1,0.0035402,-0.10576,0.071877,0.1607
16.697,0,0.38666,1,0.0036083,-0.10583,0.071874,0.1607
16.697,0,0.38666,1,0.0036764,-0.1059,0.071872,0.1607
16.697,0,0.38666,1,0.0037444,-0.10597,0.071869,0.1607
16.697,0,0.1284,1,0.0038125,-0.10603,0.071867,0.1607
16.697,0,0.1284,1,0.0038806,-0.1061,0.071864,0.1607
16.697,0,0.1284,1,0.0039487,-0.10617,0.071862,0.16069
16.697,0,0.1284,1,0.0040168,-0.10624,0.071859,0.16069
16.697,0,0.1284,1,0.0040848,-0.10631,0.071857,0.16069
16.697,0,0.1284,1,0.0041529,-0.10637,0.071854,0.16069
16.697,0,0.1284,1,0.004221,-0.10644,0.071851,0.16069
16.697,0,0.1284,1,0.0042891,-0.10651,0.071849,0.16069
16.697,0,0.1284,1,0.0043572,-0.10658,0.071846,0.16068
16.697,0,0.1284,1,0.0044252,-0.10665,0.071844,0.16068
16.697,0,0.1284,1,0.0044933,-0.10671,0.071841,0.16068
16.697,0,0.1284,1,0.0045614,-0.10678,0.071839,0.16068
16.697,0,0.1284,1,0.0046295,-0.10685,0.071836,0.16068
16.697,0,0.1284,1,0.0046976,-0.10692,0.071834,0.16068
16.697,0,0.1284,1,0.0047656,-0.10699,0.071831,0.16067
16.697,0,0.1284,1,0.0048337,-0.10705,0.071829,0.16067
16.697,0,0.1284,1,0.0049018,-0.10712,0.071826,0.16067
16.697,0,0.1284,1,0.0049699,-0.10719,0.071824,0.16067
16.697,0,0.1284,1,0.005038,-0.10726,0.071821,0.16067
16.697,0,0.1284,1,0.0051061,-0.10733,0.071818,0.16067
16.697,0,0.1284,1,0.0051741,-0.10739,0.071816,0.16066
16.697,0,0.1284,1,0.0052422,-0.10746,0.071813,0.16066
16.697,0,0.1284,1,0.0053103,-0.10753,0.071811,0.16066
16.697,0,0.1284,1,0.0053784,-0.1076,0.071808,0.16066
16.697,0,0.1284,1,0.0054465,-0.10767,0.071806,0.16066
16.697,0,0.1284,1,0.0055145,-0.10773,0.071803,0.16066
16.697,0,0.1284,1,0.0055826,-0.1078,0.071801,0.16065
16.697,0,0.1284,1,0.0056507,-0.10787,0.071798,0.16065
16.697,0,0.1284,1,0.0057188,-0.10794,0.071796,0.16065
16.697,0,0.10301,1,0.0057869,-0.10801,0.071793,0.16065
16.697,0,0.10301,1,0.0058549,-0.10807,0.07179,0.16065
16.697,0,0.10301,1,0.005923,-0.10814,0.071788,0.16065
16.697,0,0.10301,1,0.0059911,-0.10821,0.071785,0.16065
16.697,0,0.10301,1,0.0060592,-0.10828,0.071783,0.16064
16.697,0,0.10301,1,0.0061273,-0.10835,0.07178,0.16064
