x,Curve1
6.0722,10.083
6.2642,11.272
6.4197,12.282
6.5455,13.181
6.7275,14.398
6.8042,14.944
6.9224,15.756
7.0433,16.524
7.1536,17.315
7.2692,17.929
7.4058,18.687
7.5848,19.57
7.7536,20.386
7.9324,20.897
8.0549,21.188
8.2072,21.395
8.3496,21.533
8.5151,21.492
8.6377,21.27
8.7569,21.049
8.8562,20.717
8.9722,20.399
9.0583,19.942
9.1808,19.333
9.2736,18.891
9.3531,18.393
9.4392,17.853
9.5187,17.328
9.5916,16.857
9.7042,16.055
9.8268,15.197
9.9461,14.312
10.0409,13.552
10.1452,12.802
10.2746,11.792
10.404,10.641
10.5376,9.648
10.7421,8.236
10.8632,7.243
11.0009,6.389
11.1219,5.674
11.2471,4.977
11.3849,4.262
11.5619,3.314
11.7565,2.479
11.93,1.93
12.1508,1.293
