! CEL								
! CE3520K3									
! N-channel HJ-FET									
! Vds = 3 V Id = 30 mA									
# Hz S  MA   R 50									
!	f	S11	S21	S12	S22				
!	Hz	MAG	ANG	MAG	ANG	MAG	ANG	MAG	ANG
2000000000 0.9764955 -29.727423 5.731575 147.89436 0.021857258 68.960075 0.63759768 -20.443743
2100000000 0.97273982 -31.248201 5.7171054 146.25757 0.022911323 67.96814 0.63599634 -21.393179
2200000000 0.9696812 -32.739277 5.7117643 144.69727 0.02391579 67.19976 0.63463902 -22.478456
2300000000 0.96681792 -34.194183 5.6987324 143.13277 0.02492512 66.22374 0.632402 -23.514732
2400000000 0.96345627 -35.612747 5.6876845 141.55574 0.026083965 65.189217 0.63073003 -24.605869
2500000000 0.95994598 -37.092171 5.6741772 140.00804 0.027043089 64.541306 0.62955993 -25.588249
2600000000 0.95649558 -38.624271 5.6640964 138.44749 0.028111529 63.47654 0.62750936 -26.618179
2700000000 0.95258272 -40.057613 5.6531982 136.86847 0.029006058 62.362236 0.62531269 -27.685291
2800000000 0.94841015 -41.505749 5.638104 135.34367 0.029942621 61.578861 0.62396556 -28.738968
2900000000 0.94401896 -42.985687 5.626307 133.75023 0.030919269 60.518715 0.62156856 -29.733259
3000000000 0.94022846 -44.488052 5.6120577 132.22197 0.031959243 59.525898 0.61984503 -30.71459
3100000000 0.93641967 -45.952969 5.6002374 130.66782 0.032862648 58.868553 0.61741352 -31.772053
3200000000 0.93149841 -47.428734 5.5839291 129.13528 0.033845197 57.766544 0.61626887 -32.75742
3300000000 0.92631221 -48.860889 5.5684476 127.58762 0.034708682 56.585381 0.6144045 -33.800522
3400000000 0.92267179 -50.29435 5.5535431 126.05255 0.035679609 55.753571 0.61180431 -34.874836
3500000000 0.91841507 -51.79356 5.5396862 124.49397 0.036677431 54.823101 0.60896909 -35.844498
3600000000 0.91413522 -53.252544 5.5262856 122.97399 0.037609052 53.885418 0.60682273 -36.912621
3700000000 0.9085874 -54.680134 5.507194 121.45551 0.038376004 53.132011 0.60516793 -37.919277
3800000000 0.90300822 -56.14024 5.4923067 119.91912 0.039318368 52.001194 0.60296029 -38.958969
3900000000 0.8988902 -57.616425 5.4771757 118.41657 0.040188968 51.084068 0.60001618 -39.959133
4000000000 0.89455289 -59.055676 5.4597449 116.87321 0.041240908 50.229031 0.59719092 -40.933289
4100000000 0.88932431 -60.525982 5.4430504 115.3575 0.041835643 49.428524 0.59481287 -41.972401
4200000000 0.88444179 -61.985771 5.427393 113.87691 0.042705454 48.392082 0.59302872 -42.961517
4300000000 0.87988842 -63.386143 5.4126968 112.36238 0.043603159 47.536053 0.59023166 -44.057663
4400000000 0.87468016 -64.834747 5.3942881 110.84085 0.044349011 46.652851 0.58711195 -45.05558
4500000000 0.86971664 -66.278687 5.3783121 109.35221 0.045150399 45.686977 0.58477712 -46.090649
4600000000 0.86374545 -67.768288 5.3618422 107.84006 0.045971464 44.622097 0.58218622 -47.079235
4700000000 0.85929036 -69.20594 5.3451538 106.33031 0.046769898 44.030872 0.57948977 -48.104034
4800000000 0.85409737 -70.648804 5.3268886 104.86327 0.047618866 42.961018 0.57716328 -49.116169
4900000000 0.84877086 -72.121132 5.3117943 103.36476 0.048294276 41.997238 0.57435668 -50.135025
5000000000 0.84318441 -73.589508 5.2941265 101.87153 0.049099505 41.006966 0.5717206 -51.151272
5100000000 0.83888161 -75.011261 5.2753124 100.38794 0.049834356 40.225815 0.56830215 -52.175865
5200000000 0.83275908 -76.460266 5.2574306 98.909081 0.050603133 39.39563 0.56614822 -53.200043
5300000000 0.82733315 -77.955284 5.2406774 97.432892 0.051393442 38.396053 0.56315416 -54.178986
5400000000 0.82233584 -79.411774 5.2222466 95.952545 0.051944453 37.512665 0.56043392 -55.225288
5500000000 0.81623268 -80.878334 5.2037506 94.489388 0.052685473 36.507797 0.55799967 -56.220646
5600000000 0.81100321 -82.323586 5.1854925 93.005295 0.053447504 35.790775 0.55485946 -57.212471
5700000000 0.80517918 -83.794609 5.1674252 91.515579 0.054081339 34.620182 0.55188042 -58.263454
5800000000 0.79929692 -85.284477 5.1484294 90.049881 0.054772269 33.988255 0.54883683 -59.21236
5900000000 0.79380268 -86.746635 5.129591 88.578598 0.055214692 32.764423 0.54581767 -60.208004
