! CEL
! CE3520K3
! N-channel HJ-FET
! Vds = 0 V Vgs = 0 V
# Hz S  MA   R 50
!      f          S11               S21               S12               S22
!    Hz      MAG      ANG      MAG      ANG      MAG      ANG      MAG      ANG
2000000000 1.0009602 -26.764088 0.014612281 95.270805 0.014771073 95.128708 0.71105236 152.79874
2100000000 1.0004106 -27.997009 0.015378387 95.547844 0.01550661 95.487556 0.71127522 151.47701
2200000000 1.0006353 -29.314899 0.016528206 95.553474 0.016138332 94.91877 0.71108538 150.13673
2300000000 1.0014901 -30.650707 0.017142011 94.589828 0.0174817 94.787468 0.71059674 148.77483
2400000000 1.0028155 -32.055111 0.018452564 94.884262 0.018460061 95.60125 0.71069896 147.47668
2500000000 1.0011208 -33.417042 0.019248903 94.383568 0.01927045 94.725731 0.71049666 146.07245
2600000000 0.9996438 -34.641212 0.020481847 94.51368 0.020420508 95.027153 0.71039087 144.78221
2700000000 0.99871838 -36.10815 0.021475723 94.353508 0.021645578 94.364235 0.71075302 143.45894
2800000000 0.99881035 -37.43306 0.022626985 93.933578 0.022726197 94.219345 0.71033072 142.13622
2900000000 0.99857366 -38.754765 0.023861706 93.277794 0.023806978 93.873314 0.71041596 140.78372
3000000000 0.99771571 -40.075123 0.02499016 92.955124 0.02490836 93.095688 0.71059436 139.43896
3100000000 0.99968135 -41.449963 0.026291946 92.712685 0.026088348 93.117416 0.710428 138.13481
3200000000 0.99885356 -42.881393 0.027528353 92.252686 0.027385691 92.674866 0.71066493 136.79944
3300000000 0.99860573 -44.187046 0.02873577 91.932465 0.028833123 92.099274 0.71062994 135.46651
3400000000 0.99724638 -45.531292 0.029863177 91.463112 0.030019596 91.65049 0.7105636 134.13965
3500000000 0.99804324 -46.945126 0.031410523 90.939278 0.031227598 90.868408 0.71075344 132.82988
3600000000 0.99837226 -48.353828 0.032750957 90.45903 0.032743476 90.206635 0.71107709 131.48814
3700000000 0.99808121 -49.684765 0.03398462 89.785606 0.034227263 90.098763 0.71109277 130.14758
3800000000 0.99704266 -51.027325 0.035484962 88.969757 0.035597216 89.321655 0.71106589 128.83069
3900000000 0.99764496 -52.434082 0.036687683 88.819855 0.036837928 88.377846 0.71155739 127.49324
4000000000 0.99618673 -53.821304 0.038316049 88.004539 0.038471796 87.766159 0.71149939 126.16048
4100000000 0.99621975 -55.155369 0.040054154 87.204681 0.039876956 87.088478 0.71167058 124.83153
4200000000 0.99614727 -56.592339 0.041357063 86.433975 0.041587345 86.683723 0.71184891 123.54089
4300000000 0.99574679 -57.888824 0.042996969 85.944328 0.042948373 85.996368 0.71208447 122.1908
4400000000 0.99549174 -59.295078 0.044480011 85.135849 0.044501629 85.267342 0.71162772 120.86084
4500000000 0.99441636 -60.785591 0.04584188 84.545677 0.045950089 84.408035 0.71265686 119.53272
4600000000 0.99269629 -62.095585 0.047526378 83.482834 0.047747761 83.785545 0.7127344 118.16982
4700000000 0.99286979 -63.342999 0.049224574 83.155411 0.04936602 83.065216 0.71268779 116.86551
4800000000 0.99287665 -64.902489 0.051054664 82.227646 0.05103847 82.062286 0.71302879 115.54052
4900000000 0.99200648 -66.265282 0.052494809 81.236481 0.052575331 81.321022 0.71304989 114.24068
5000000000 0.99185389 -67.631882 0.054384686 80.341423 0.05437319 80.705101 0.71323216 112.88584
5100000000 0.99161154 -69.060791 0.056258079 79.589417 0.056125455 79.749512 0.71352655 111.58426
5200000000 0.99065775 -70.422798 0.057811279 79.036644 0.057787545 78.974831 0.71387011 110.25535
5300000000 0.99058437 -71.824417 0.059769895 78.033501 0.059766721 77.942451 0.71373427 108.94238
5400000000 0.98987657 -73.21154 0.061269294 76.978333 0.061555635 77.306358 0.71411389 107.605
5500000000 0.98874885 -74.688583 0.063411623 76.077492 0.063356832 76.234016 0.71436328 106.28453
5600000000 0.98933148 -76.106178 0.065084897 75.211632 0.065121479 75.487427 0.7147218 105.0106
5700000000 0.98833591 -77.493401 0.067067899 74.163292 0.067204304 74.543678 0.71488327 103.6581
5800000000 0.98886734 -78.935936 0.068937995 73.36335 0.069209456 73.652161 0.71487737 102.36487
5900000000 0.98723209 -80.422531 0.070938013 72.612679 0.070981517 72.436592 0.71535569 101.0659
6000000000 0.98616868 -81.809662 0.072784036 71.418304 0.073182635 71.642227 0.71575212 99.725388
6100000000 0.98612076 -83.225014 0.074950308 70.433075 0.07483121 70.675026 0.71575767 98.399452
6200000000 0.98549819 -84.638939 0.076876819 69.622566 0.076784469 69.449341 0.71604186 97.110336
6300000000 0.98492348 -86.095284 0.079009011 68.529305 0.078877062 68.478844 0.71638131 95.770775
6400000000 0.98431551 -87.501961 0.081021138 67.470627 0.080822185 67.582001 0.71633428 94.45623
6500000000 0.98401296 -88.967522 0.082934767 66.299965 0.08301606 66.570549 0.71657348 93.20005
6600000000 0.98252118 -90.411621 0.084971264 65.402718 0.084964834 65.530609 0.71695113 91.855453
6700000000 0.98240089 -91.918594 0.087198377 64.359962 0.087042443 64.391472 0.71734828 90.547195
6800000000 0.98179871 -93.385155 0.089021578 63.17807 0.089165904 63.361843 0.71756881 89.272072
6900000000 0.98015648 -94.856194 0.091305539 62.210827 0.091188952 62.267578 0.71803612 87.961647
7000000000 0.98025656 -96.277 0.09333273 61.12693 0.093250088 61.075279 0.71809971 86.640312
7100000000 0.97834891 -97.689857 0.095419593 60.007427 0.095489569 60.140915 0.7186777 85.309097
7200000000 0.97815984 -99.235458 0.09764833 59.057079 0.097404286 59.048904 0.71882552 84.027969
7300000000 0.97787809 -100.69223 0.099438958 57.938793 0.0997243 58.017395 0.71867353 82.702469
7400000000 0.97662872 -102.17138 0.10159559 56.967407 0.10186327 56.922974 0.71942663 81.41996
7500000000 0.97538626 -103.67233 0.10381396 55.78664 0.10390125 55.782345 0.71967244 80.133949
7600000000 0.9752031 -105.16214 0.10581108 54.600323 0.10600747 54.673431 0.71942937 78.84893
7700000000 0.9735387 -106.61684 0.10813833 53.607948 0.10805197 53.647934 0.71990991 77.532509
7800000000 0.97301513 -108.0957 0.11017521 52.426365 0.11014732 52.550968 0.72038245 76.290688
7900000000 0.97169811 -109.61331 0.11255614 51.329601 0.112454 51.556938 0.72014332 74.966576
8000000000 0.97084105 -111.16518 0.11473932 50.388561 0.1151868 50.406738 0.72037703 73.713654
8100000000 0.96955758 -112.53719 0.11711598 49.103741 0.11709034 49.316875 0.72086054 72.374397
8200000000 0.96874464 -114.0673 0.11941867 48.056248 0.11941031 48.143017 0.72128451 71.109299
8300000000 0.96873575 -115.62679 0.12211326 46.881268 0.12184822 47.035892 0.72126812 69.852997
8400000000 0.96643668 -117.10114 0.12432707 45.64381 0.12422473 45.690987 0.72197366 68.535133
8500000000 0.96618122 -118.5756 0.12684791 44.45517 0.12646413 44.678783 0.72223306 67.284561
8600000000 0.96509045 -120.13206 0.12879589 43.255226 0.12895051 43.357502 0.7224043 65.963173
8700000000 0.96532631 -121.6405 0.13123618 42.075169 0.13117363 42.180008 0.72242415 64.715179
8800000000 0.96368724 -123.08233 0.13341713 40.942425 0.1336223 41.022747 0.72329849 63.407379
8900000000 0.96304947 -124.66485 0.13553332 39.55191 0.13585661 39.752598 0.72309381 62.153542
9000000000 0.96277654 -126.24829 0.13812396 38.366913 0.13818945 38.461475 0.7231791 60.859501
9100000000 0.96235675 -127.65793 0.14022091 37.128044 0.14016706 37.200367 0.72302955 59.559467
9200000000 0.96180546 -129.2605 0.14276139 35.96373 0.14277019 35.976871 0.72365206 58.2999
9300000000 0.96187985 -130.88525 0.14494523 34.589634 0.14502582 34.698635 0.72366637 57.059998
9400000000 0.96249366 -132.44814 0.14730914 33.35561 0.1473421 33.401909 0.72385299 55.795631
9500000000 0.96189445 -134.04242 0.14909574 32.039734 0.14966144 32.079514 0.72370356 54.567429
9600000000 0.95948821 -135.75237 0.15144345 30.789312 0.15123945 30.808128 0.72506034 53.316628
9700000000 0.95858121 -137.35434 0.15352823 29.439604 0.15393072 29.502655 0.72519535 52.013603
9800000000 0.957039 -138.88579 0.15642285 28.349613 0.15591083 28.403845 0.72547966 50.766457
9900000000 0.95501715 -140.53136 0.15816006 26.909357 0.15805742 26.981127 0.72561014 49.505402
10000000000 0.95428431 -142.12698 0.16013484 25.686068 0.16006555 25.73464 0.72564811 48.225079
10100000000 0.95459062 -143.64371 0.16258828 24.291719 0.162457 24.330784 0.72517067 47.020012
10200000000 0.95293033 -145.24469 0.16414745 23.009327 0.16451548 23.2383 0.72560376 45.734028
10300000000 0.95232737 -146.88489 0.16629353 21.705786 0.16648349 21.827211 0.72540027 44.5373
10400000000 0.95181936 -148.59978 0.16838181 20.458916 0.16866016 20.513676 0.72583205 43.360119
10500000000 0.95004427 -150.22383 0.1705178 19.211502 0.17040502 19.298849 0.72672993 42.120682
10600000000 0.94850659 -151.86044 0.17258236 18.009836 0.17213167 17.974531 0.72698206 40.868931
10700000000 0.94743299 -153.491 0.17422996 16.584026 0.17449027 16.702833 0.72759384 39.660835
10800000000 0.9457643 -155.10088 0.17622584 15.265106 0.17656353 15.462886 0.72805816 38.41748
10900000000 0.94489145 -156.74416 0.17835118 14.092749 0.17860959 14.088178 0.7289834 37.166759
11000000000 0.94354999 -158.38274 0.18025587 12.774856 0.18015748 12.841153 0.72846401 35.929535
11100000000 0.9427734 -160.0661 0.18200076 11.430211 0.18224783 11.500183 0.72919214 34.693504
11200000000 0.94132751 -161.71394 0.184168 10.099115 0.18398373 10.231091 0.72932965 33.446533
11300000000 0.94043922 -163.36084 0.18623805 8.7560759 0.18660429 8.8520632 0.72914749 32.225456
11400000000 0.9385969 -165.05461 0.18810445 7.5114751 0.1882911 7.5722423 0.7297973 30.993473
11500000000 0.9383232 -166.7473 0.18978505 6.0286818 0.18976758 6.18961 0.73025656 29.768547
11600000000 0.93614018 -168.34923 0.19163124 4.7826729 0.19164447 4.8878651 0.73041677 28.541874
11700000000 0.93528003 -170.07703 0.19341306 3.4626906 0.1933752 3.5424585 0.73064953 27.318893
11800000000 0.9343363 -171.81096 0.19542798 2.2040589 0.19551076 2.168731 0.73120248 26.135344
