! CEL
! CE3520K3
! N-channel HJ-FET
! Vds = 2 V Id = 6 mA
# Hz S  MA   R 50
!      f          S11               S21               S12               S22
!    Hz      MAG      ANG      MAG      ANG      MAG      ANG      MAG      ANG
2000000000 0.98035944 -29.159311 4.3293347 149.29152 0.02862794 67.64743 0.65920687 -24.487707
2100000000 0.9774183 -30.489841 4.3240166 147.79355 0.029987119 66.183418 0.65804654 -25.811518
2200000000 0.97545749 -31.906618 4.3191977 146.24763 0.031191252 65.322472 0.65626943 -27.059568
2300000000 0.97434241 -33.317402 4.3068004 144.77284 0.032581396 64.448807 0.65481108 -28.235485
2400000000 0.97342134 -34.820107 4.304769 143.21278 0.033806998 63.199898 0.65186012 -29.424128
2500000000 0.96932852 -36.2645 4.2901778 141.6741 0.035034843 61.810051 0.65092826 -30.570803
2600000000 0.96526688 -37.561619 4.2850237 140.21828 0.036292266 61.181702 0.6505667 -31.888613
2700000000 0.96219599 -39.121628 4.2807093 138.72375 0.037970558 60.058563 0.64932787 -32.974991
2800000000 0.95962822 -40.491951 4.2689357 137.23666 0.038620338 58.854374 0.64738894 -34.213203
2900000000 0.95673466 -41.909664 4.2573338 135.73979 0.040205535 57.615959 0.64550108 -35.335659
3000000000 0.95290506 -43.288124 4.2481179 134.21991 0.041546874 56.773392 0.64350295 -36.553448
3100000000 0.95205212 -44.737865 4.2435827 132.79874 0.042760104 55.812069 0.6416347 -37.710194
3200000000 0.94876558 -46.223209 4.2331743 131.26402 0.04381628 54.542065 0.63994902 -38.816719
3300000000 0.94568032 -47.580471 4.2210083 129.81905 0.044842921 53.47477 0.63803607 -40.011353
3400000000 0.9413175 -48.969849 4.2129235 128.31252 0.046240676 52.433151 0.63646066 -41.236153
3500000000 0.93928897 -50.437721 4.202857 126.84089 0.04733729 51.340946 0.63367099 -42.356525
3600000000 0.93642485 -51.890766 4.1923351 125.37395 0.048345014 50.658733 0.63123089 -43.399147
3700000000 0.93293279 -53.253815 4.1841464 123.91417 0.049559005 49.42487 0.6297676 -44.620163
3800000000 0.9292568 -54.641273 4.1742859 122.44146 0.050719552 48.55592 0.62798601 -45.840374
3900000000 0.92638737 -56.05471 4.1607347 120.95821 0.051728867 47.180214 0.62498778 -46.888268
4000000000 0.92172456 -57.476391 4.1520882 119.50322 0.052868079 46.019093 0.62361187 -48.01675
4100000000 0.91821206 -58.843674 4.1433072 118.06731 0.053912368 45.173332 0.62170869 -49.265339
4200000000 0.91520518 -60.290573 4.1319628 116.6126 0.054964423 43.967453 0.61865777 -50.355289
4300000000 0.9112584 -61.60009 4.1184449 115.20049 0.056225691 43.146294 0.61716086 -51.438747
4400000000 0.90817714 -62.984699 4.1118631 113.75092 0.057133373 42.244114 0.6148681 -52.639084
4500000000 0.90342665 -64.495232 4.0992804 112.25583 0.057883587 41.28965 0.61309057 -53.670643
4600000000 0.89854622 -65.812248 4.0837727 110.84344 0.0588702 40.274513 0.61111212 -54.788788
4700000000 0.89492893 -67.058296 4.0769234 109.45761 0.059751455 39.184032 0.60889524 -56.010738
4800000000 0.89136875 -68.591667 4.065208 107.9533 0.060798097 38.071537 0.60605025 -56.987495
