! CEL
! CE3520K3
! N-channel HJ-FET
! Vds = 0 V Vgs = -2.5 V
# Hz S  MA   R 50
!      f          S11               S21               S12               S22
!    Hz      MAG      ANG      MAG      ANG      MAG      ANG      MAG      ANG
2000000000 1.0012542 -21.52553 0.040968101 68.059464 0.041139323 67.643753 0.99239665 -21.650505
2100000000 1.0006704 -22.488329 0.042986885 67.109612 0.042961739 66.948547 0.99257421 -22.832626
2200000000 1.0011114 -23.534857 0.044941388 65.857704 0.044919915 65.910767 0.99178988 -23.964392
2300000000 1.0021276 -24.60177 0.046849366 64.850945 0.046935942 64.954262 0.9905501 -25.008352
2400000000 1.0034633 -25.72407 0.048965357 63.539692 0.049177982 63.695881 0.98899066 -26.092068
2500000000 1.0018854 -26.832525 0.050994359 62.586651 0.050685193 62.284702 0.98916954 -27.161995
2600000000 1.0005333 -27.759798 0.052633993 61.466629 0.052876785 61.457836 0.99032056 -28.338606
2700000000 0.99948579 -28.961132 0.054593381 60.419533 0.054763708 60.423042 0.99114579 -29.311682
2800000000 0.99965286 -29.990685 0.056753401 59.355846 0.056696039 59.305679 0.99040163 -30.447102
2900000000 0.99979544 -31.074537 0.058661316 58.19363 0.058669303 58.345062 0.98980093 -31.496069
3000000000 0.99864501 -32.105984 0.06069769 57.12056 0.060521804 57.13649 0.98942602 -32.636333
3100000000 1.0007505 -33.204617 0.062664777 56.064865 0.062487788 56.276031 0.98854113 -33.639824
3200000000 1.0001315 -34.365318 0.064374283 55.115929 0.064584255 55.15337 0.98859459 -34.69492
3300000000 1.0000411 -35.383183 0.066355728 54.165855 0.066395752 53.998856 0.98756737 -35.770699
3400000000 0.99856943 -36.442165 0.068101443 52.716114 0.068283401 52.746548 0.98780847 -36.908733
3500000000 0.99940163 -37.584248 0.070118174 51.796364 0.070224896 51.785114 0.98687863 -37.931362
3600000000 0.99988526 -38.712013 0.07201273 50.741528 0.071876727 50.778713 0.98608375 -38.924404
3700000000 0.99965698 -39.750912 0.073920771 49.504185 0.073881343 49.519512 0.98565078 -40.062668
