//60?%, "5ms", units of khz.
0, 1.76
0, 1.72
1, 3.25
1, 3.09
2, 3.1
2, 3.01
3, 2.82
3, 2.75
4, 3.33
4, 3.18
5, 2.73
5, 2.63
6, 2.96
6, 2.78
7, 1.79? was this misread?
7, 2.73???????
   2.75???????
   2.70???????
   2.62???????

that's why automation is essential!
All drops present, no obvious issues.


100%:

0, 1.94
0, 1.91
1, 2.37
1, 2.30
2, 2.45
2, 2.40
3, 2.15
3, 2.09
4, 2.49
4, 2.43
5, 2.14
5, 2.16
6, 2.26
6, 2.21
7, 2.14
7, 2.08



And now the green correction factors:

0, 254
1, 286
2, 279
3, 274
4, 349
5, 220
6, 312
7, 296



470 nm led (units are Hz):

9.60
8.06
8.12
8.20
7.80
7.94
8.40
7.51
